label,content,,,,,,,,,,,,,,,,,,
1,The reason for the high living expenses is of course the influx of hundreds of thousands of non-whites to the city .,,,,,,,,,,,,,,,,,,
1,I live in Oslo and race-mixing is a huge problem .,,,,,,,,,,,,,,,,,,
1,Can i suggest some of the locals get up of their behinds and lets these traitors know that this anti-white festival is not welcome in their town 828,,,,,,,,,,,,,,,,,,
1,We have to encourage people to boycott all black businesses , start rumours that blacks working in shops have AIDs which is probably true .,,,,,,,,,,,,,,,,,
1,Africans in Ireland should be treated like paedophiles .,,,,,,,,,,,,,,,,,,
1,I disagree you can never justify race mixing Some of them girls may have been brainwashed by media , also you are condemning their kids and furture generations of kids to a non white future .,,,,,,,,,,,,,,,,,
1,I heard about it is it about that white guy that killed that race traitor slut and her nig nog boyfriend ?,,,,,,,,,,,,,,,,,,
1,It's a shame that universities of Canada import black and brown people .,,,,,,,,,,,,,,,,,,
1,I was beaten and robbed by two natives last year and over the last couple of years I have watched downtown turn into black , brown and yellow town. the food court at Portage place has started to remind me of the creature cantina from star wars .,,,,,,,,,,,,,,,,,
1,I try and avoid shops owned by.or employing non.whites too .,,,,,,,,,,,,,,,,,,
1,Sooner or later the black one will say `` mother * * * * er '' or `` madick '' .,,,,,,,,,,,,,,,,,,
1,These areas that you name are the preserve of the rich , you wont find a single white working class person living there.We might look down on blacks and pakis as scum and not want them living near us but the upper class feel exactly the same about us,,,,,,,,,,,,,,,,,
1,Having recently traveled to London I was disgusted by how non-white the city had become .,,,,,,,,,,,,,,,,,,
1,This land was founded by whites for whites and I prefer to punish the symptom of urban decay rather than just its zowg figurehead .,,,,,,,,,,,,,,,,,,
1,London nowadays is more dangerous for tourists than Zimbabwe Like the above poster says do n't go to London just go someplace else that is much better like Bath or Stratford Upon Avon ( Shakespeare Birthplace ) Londonistan is a craphole,,,,,,,,,,,,,,,,,,
1,You Anglo-Americans are all welcome to England if you can perform the ' small ' task of riding London of it 's ethnics !,,,,,,,,,,,,,,,,,,
1,All we here an Stormfront Britain are saying is that MASS white immigration is detrimental to OUR nation for the reasons we have given time after time .,,,,,,,,,,,,,,,,,,
1,Their English language means they are drowning in the MLK-esque crap coming out of America .,,,,,,,,,,,,,,,,,,
1,The indians and stanis will just spit all over the street .,,,,,,,,,,,,,,,,,,
1,open a new shop somewhere get my son more interested in education ( he hates school ) help mor ein my community try to whiten things up > >,,,,,,,,,,,,,,,,,,
1,Stop race mixing and discourage those who practice it .,,,,,,,,,,,,,,,,,,
1,Teach our men to be men again and defend our countries and women folk against the non white .,,,,,,,,,,,,,,,,,,
1,The only species that constantly grabs his crotch in front of others and waves their arms around furiously are : 1. monkeys 2. blacks 3. both of the above Need I say more ?,,,,,,,,,,,,,,,,,,
1,if its such a big deal that you need to talk about it , yes. you are a non-white. you might as well be fully mongol .,,,,,,,,,,,,,,,,,
1,White + Asian DOES NOT make white babies .,,,,,,,,,,,,,,,,,,
1,I did n't realize we were offending you by pointing out how often Asians and Jews get surgery to look more White .,,,,,,,,,,,,,,,,,,
